Fast Food,Store Name,Street,City,State,Zip,Country,unique_address,LAT,LONG
Domino's,Keilor East,Shop 26 Milleara Shopping Centre Cnr Milleara & Buckley Streets,KEILOR EAST,VIC,3033,Australia,"Shop 26 Milleara Shopping Centre Cnr Milleara & Buckley Streets, KEILOR EAST,VIC, 3033,Australia",-37.75083889,144.8618561
Domino's,Wyndham Vale,1/210 Ballan Road,WYNDHAM VALE,VIC,3024,Australia,"1/210 Ballan Road, WYNDHAM VALE,VIC, 3024,Australia",-37.89146128,144.6301894
Domino's,Sydenham,Shop 1 595 Melton Highway,SYDENHAM,VIC,3037,Australia,"Shop 1 595 Melton Highway, SYDENHAM,VIC, 3037,Australia",-37.69382737,144.7544779
Domino's,Wheelers Hill,Tenancy 12-14 190 Jells Road,WHEELERS HILL,VIC,3150,Australia,"Tenancy 12-14 190 Jells Road, WHEELERS HILL,VIC, 3150,Australia",-37.90978417,145.1888361
Domino's,St Kilda,Shop 1 12 Fitzroy Street,SAINT KILDA,VIC,3182,Australia,"Shop 1 12 Fitzroy Street, SAINT KILDA,VIC, 3182,Australia",-37.86140868,144.9740764
Domino's,Werribee,Shop 5 57-61 Synnot St,WERRIBEE,VIC,3030,Australia,"Shop 5 57-61 Synnot St, WERRIBEE,VIC, 3030,Australia",-37.90372376,144.6600685
Domino's,Rye,3/2353-2359 Point Nepean Rd,RYE,VIC,3941,Australia,"3/2353-2359 Point Nepean Rd, RYE,VIC, 3941,Australia",-38.37066785,144.8232525
Domino's,Brighton Vic,331 Bay Street,BRIGHTON,VIC,3186,Australia,"331 Bay Street, BRIGHTON,VIC, 3186,Australia",-37.90546698,145.003451
Domino's,Oakleigh,Shop 1 19-21 Hanover Street,OAKLEIGH,VIC,3166,Australia,"Shop 1 19-21 Hanover Street, OAKLEIGH,VIC, 3166,Australia",-37.90085824,145.0917337
Domino's,Warrnambool,Shop 3 Northpoint Shopping Centre 72 Hopkins Highway,WARRNAMBOOL,VIC,3280,Australia,"Shop 3 Northpoint Shopping Centre 72 Hopkins Highway, WARRNAMBOOL,VIC, 3280,Australia",-38.36549546,142.4948996
Domino's,Sunbury,Store Closed Effect 9/1/09,SUNBURY,VIC,3429,Australia,"Store Closed Effect 9/1/09, SUNBURY,VIC, 3429,Australia",-37.5794297,144.7287551
Domino's,Epping North,Cnr Epping Road Lyndarum Drive,EPPING,VIC,3076,Australia,"Cnr Epping Road Lyndarum Drive, EPPING,VIC, 3076,Australia",-37.63045899,145.0173892
Domino's,Sale,Shop 3 180 - 182 York St,SALE,VIC,3850,Australia,"Shop 3 180 - 182 York St, SALE,VIC, 3850,Australia",-38.10669142,147.0684342
Domino's,Ararat,Shop 3 & 4 Safeway Complex 1 Ingor Street,ARARAT,VIC,3377,Australia,"Shop 3 & 4 Safeway Complex 1 Ingor Street, ARARAT,VIC, 3377,Australia",-37.28317572,142.9273855
Domino's,Traralgon,35 Princes Highway,TRARALGON,VIC,3844,Australia,"35 Princes Highway, TRARALGON,VIC, 3844,Australia",-38.1984083,146.5388871
Domino's,Hampton Park (Vic),Shop 71 Hampton Park Shopping Square Hallam Road & Somerville Road,HAMPTON PARK,VIC,3976,Australia,"Shop 71 Hampton Park Shopping Square Hallam Road & Somerville Road, HAMPTON PARK,VIC, 3976,Australia",-38.03221808,145.2678525
